Price,Date,Close,High,Low,Open,Volume
Ticker,,SPY,SPY,SPY,SPY,SPY
0,2010-01-04,84.5784683227539,84.62324465317812,83.22019792613303,83.86201856678387,118944600
1,2010-01-05,84.80238342285156,84.83970083964267,84.2202681614759,84.52625503641553,111579900
2,2010-01-06,84.8620834350586,85.07104729014362,84.65311957997358,84.72028409317747,116074400
3,2010-01-07,85.22029876708984,85.32478067932355,84.46653151982908,84.70534813262572,131091100
4,2010-01-08,85.50387573242188,85.54119313431706,84.82474342985138,84.99638981336251,126402800
5,2010-01-11,85.62329864501953,85.92181512591176,85.2576062764038,85.88450341271869,106375700
6,2010-01-12,84.82477569580078,85.23523880360055,84.49640065449034,85.05612773281226,163333500
7,2010-01-13,85.54122924804688,85.78004591702553,84.60835074518671,85.04120204319656,161822000
8,2010-01-14,85.77253723144531,85.92926005615315,85.3919214035345,85.44416234510378,115718800
9,2010-01-15,84.80985260009766,85.70541371280088,84.48147753498175,85.62332564036059,212283100
10,2010-01-19,85.86959075927734,85.92183172290824,84.77252482919043,84.79491869403624,139172700
11,2010-01-20,84.99640655517578,85.41433420830795,84.317274118836,85.28746412701243,216490200
12,2010-01-21,83.36199188232422,85.27998919253707,83.25750998167734,85.01878444091986,344859600
13,2010-01-22,81.50372314453125,83.39186820260709,81.4141647641998,82.98886403187277,345942400
14,2010-01-25,81.9216537475586,82.39929276562772,81.65298998478734,82.25002879315663,186937500
15,2010-01-26,81.57836151123047,82.44407553753611,81.37686224998419,81.60074968538686,211168800
16,2010-01-27,81.96642303466797,82.1529987008524,80.84696903756134,81.47386054289906,271863600
17,2010-01-28,81.02607727050781,82.27986593150325,80.53352048967243,82.23508959520112,316104000
18,2010-01-29,80.14542388916016,81.94401562183506,80.01855383247016,81.37682413556031,310677600
19,2010-02-01,81.3917465209961,81.39921114005865,80.22751647602274,80.71261422604032,187865000
20,2010-02-02,82.37687683105469,82.53359968978535,81.25742295968982,81.54102158449116,216327900
21,2010-02-03,81.96642303466797,82.451520905515,81.72760640970539,82.00373475160237,172730700
22,2010-02-04,79.43645477294922,81.36937587627416,79.42152553160986,81.33206416060034,356715700
23,2010-02-05,79.60062408447266,79.7648058448467,78.04831358227813,79.52598928249647,493585800
24,2010-02-08,79.0259780883789,80.1006556031368,78.96627251670643,79.66033412934812,224166900
25,2010-02-09,80.0185546875,80.71261623788105,79.30956389862169,79.95138450193477,337820500
